name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,img_url
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/adhirasam.jpg
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/11/gobi-masala-recipe-500x500.jpg
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/12/aloo-matar-gravy-recipe-500x500.jpg
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/aloo-methi-1-1152x1536.jpg
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2014/06/bharwan-shimla-mirch-recipe-500x500.jpg
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/12/aloo-tikki-chole-500x500.jpg
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,spicy,main course,Assam,North East,https://www.pepperonpizza.com/wp-content/uploads/2019/04/Assamese-Aloo-Pitika-1024x768.jpg?ezimgfmt=ng:webp/ngcb10
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2014/02/amti-recipe.jpg
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/anarsa.jpg
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/ariselu-1.jpg
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Andhra_Kandi_Attu_Recipe_Toor_Dal_Dosa_Recipe_.jpg
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,https://www.vegrecipesofindia.com/wp-content/uploads/2011/11/avial-recipe-1.jpg
Baingan Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",vegetarian,10,60,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/baingan-bharta-1-500x500.jpg
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,https://www.vegrecipesofindia.com/wp-content/uploads/2013/03/bajra-roti.jpg
